1048,1047000,-414457,-1678
1049,1048000,-284268,-926
1050,1049000,-36484,-373
1051,1050000,102582,19
1052,1051000,111954,646
1053,1052000,182840,1466
1054,1053000,369120,1946
1055,1054000,457176,1800
1056,1055000,330038,1434
1057,1056000,164895,1255
1058,1057000,136689,944
1059,1058000,120984,110
1060,1059000,-73726,-858
1061,1060000,-320415,-1349
1062,1061000,-376927,-1468
1063,1062000,-291542,-1696
1064,1063000,-277759,-1918
1065,1064000,-334614,-1625
1066,1065000,-265966,-842
1067,1066000,-38935,-102
1068,1067000,149421,368
1069,1068000,194379,849
1070,1069000,220884,1499
1071,1070000,337570,1966
1072,1071000,434950,1878
1073,1072000,354939,1414
1074,1073000,164599,998
1075,1074000,55449,625
1076,1075000,25960,-48
1077,1076000,-88920,-952
1078,1077000,-297937,-1558
1079,1078000,-409446,-1679
1080,1079000,-346358,-1672
1081,1080000,-263645,-1713
1082,1081000,-260343,-1470
1083,1082000,-217471,-746
1084,1083000,-34114,103
1085,1084000,177946,685
1086,1085000,266003,1086
1087,1086000,268330,1547
1088,1087000,316700,1929
1089,1088000,390773,1874
1090,1089000,348143,1371
1091,1090000,169896,787
1092,1091000,4906,306
1093,1092000,-63741,-274
1094,1093000,-135419,-1048
1095,1094000,-286741,-1676
1096,1095000,-408540,-1837
1097,1096000,-378882,-1687
1098,1097000,-264259,-1519
1099,1098000,-196902,-1237
1100,1099000,-151311,-594
1101,1100000,-13495,267
1102,1101000,190395,945
1103,1102000,315060,1325
1104,1103000,320853,1616
1105,1104000,312533,1861
1106,1105000,340872,1797
1107,1106000,313300,1293
1108,1107000,161504,602
1109,1108000,-26272,7
1110,1109000,-135392,-533
1111,1110000,-193040,-1167
1112,1111000,-289185,-1736
1113,1112000,-392654,-1918
1114,1113000,-387222,-1701
1115,1114000,-267419,-1354
1116,1115000,-148947,-972
1117,1116000,-77290,-383
1118,1117000,27215,425
1119,1118000,199156,1143
1120,1119000,339324,1533
1121,1120000,362303,1697
1122,1121000,320824,1780
1123,1122000,297609,1660
1124,1123000,261874,1169
1125,1124000,135978,430
1126,1125000,-51013,-257
1127,1126000,-189468,-798
1128,1127000,-249638,-1308
1129,1128000,-302374,-1765
1130,1129000,-370402,-1929
1131,1130000,-373422,-1681
1132,1131000,-263663,-1208
1133,1132000,-114789,-707
1134,1133000,-8533,-130
1135,1134000,82685,597
1136,1135000,215580,1294
1137,1136000,346887,1692
1138,1137000,385035,1773
1139,1138000,330667,1698
1140,1139000,263330,1484
1141,1140000,204350,995
1142,1141000,95571,254
1143,1142000,-75798,-488
1144,1143000,-228340,-1044
1145,1144000,-298699,-1458
1146,1145000,-322329,-1782
1147,1146000,-348650,-1883
1148,1147000,-342842,-1613
1149,1148000,-245997,-1064
1150,1149000,-87321,-457
1151,1150000,48436,138
1152,1151000,142106,787
1153,1152000,241521,1415
1154,1153000,347576,1795
1155,1154000,389639,1823
1156,1155000,334005,1619
1157,1156000,235803,1288
1158,1157000,147225,780
1159,1158000,44271,63
1160,1159000,-104864,-689
1161,1160000,-255403,-1257
1162,1161000,-335205,-1600
1163,1162000,-343345,-1792
1164,1163000,-331025,-1799
1165,1164000,-303265,-1497
1166,1165000,-213642,-907
