sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V
360,179500,500,2211,2016,2053,1862,1.798000,1.647000
361,180000,500,2177,2020,2016,1870,1.766000,1.649000
362,180500,500,2138,2024,1971,1872,1.736000,1.650000
363,181000,500,2096,2024,1936,1872,1.702000,1.650000
364,181500,500,2049,2032,1889,1882,1.665000,1.656000
365,182000,500,1983,2032,1825,1881,1.611000,1.656000
366,182500,500,1917,2024,1759,1872,1.560000,1.652000
367,183000,500,1853,2036,1697,1886,1.508000,1.661000
368,183500,500,1799,2032,1647,1883,1.466000,1.658000
369,184000,500,1763,2040,1606,1889,1.437000,1.669000
370,184500,500,1717,2040,1563,1890,1.401000,1.665000
371,185000,500,1678,2032,1520,1879,1.367000,1.657000
372,185500,500,1647,2028,1488,1877,1.341000,1.653000
373,186000,500,1643,2028,1486,1877,1.341000,1.653000
374,186500,500,1664,2032,1507,1879,1.356000,1.657000
375,187000,500,1683,2024,1523,1872,1.369000,1.650000
376,187500,500,1700,2032,1535,1880,1.379000,1.657000
377,188000,500,1715,2024,1563,1872,1.398000,1.650000
378,188500,500,1746,2024,1591,1872,1.425000,1.651000
379,189000,500,1804,2032,1650,1879,1.470000,1.658000
380,189500,500,1857,2008,1700,1856,1.513000,1.637000
381,190000,500,1912,2020,1757,1866,1.555000,1.649000
382,190500,500,1961,2012,1802,1858,1.593000,1.640000
383,191000,500,2026,2024,1867,1872,1.647000,1.650000
384,191500,500,2108,2012,1950,1861,1.712000,1.640000
385,192000,500,2176,2020,2015,1870,1.765000,1.646000
386,192500,500,2235,2024,2078,1872,1.816000,1.650000
387,193000,500,2285,2020,2127,1869,1.854000,1.649000
388,193500,500,2340,2020,2183,1871,1.899000,1.649000
389,194000,500,2397,2024,2240,1872,1.943000,1.650000
390,194500,500,2427,2024,2266,1872,1.965000,1.650000
391,195000,500,2439,2036,2278,1886,1.978000,1.661000
392,195500,500,2431,2028,2274,1876,1.970000,1.653000
393,196000,500,2430,2028,2267,1875,1.968000,1.653000
394,196500,500,2429,2032,2268,1882,1.968000,1.655000
395,197000,500,2407,2036,2243,1886,1.952000,1.662000
396,197500,500,2365,2036,2203,1886,1.918000,1.661000
397,198000,500,2309,2024,2148,1872,1.874000,1.650000
398,198500,500,2253,2036,2097,1887,1.829000,1.661000
399,199000,500,2197,2036,2034,1883,1.782000,1.659000
400,199500,500,2126,2036,1968,1883,1.727000,1.661000
401,200000,500,2045,2040,1886,1889,1.662000,1.664000
402,200500,500,1964,2028,1806,1874,1.599000,1.652000
403,201000,500,1895,2028,1738,1875,1.542000,1.651000
404,201500,500,1828,2028,1671,1875,1.490000,1.655000
405,202000,500,1752,2024,1597,1872,1.431000,1.650000
406,202500,500,1689,2032,1529,1879,1.375000,1.656000
407,203000,500,1645,2016,1485,1865,1.341000,1.645000
408,203500,500,1626,2028,1469,1875,1.324000,1.655000
409,204000,500,1613,2028,1456,1875,1.315000,1.653000
410,204500,500,1591,2020,1435,1871,1.296000,1.649000
411,205000,500,1579,2032,1424,1883,1.289000,1.656000
412,205500,500,1594,2024,1438,1873,1.302000,1.651000
413,206000,500,1640,2020,1482,1870,1.336000,1.653000
414,206500,500,1700,2016,1535,1866,1.379000,1.645000
415,207000,500,1750,2020,1598,1869,1.427000,1.649000
416,207500,500,1806,2016,1650,1867,1.472000,1.645000
417,208000,500,1876,2028,1717,1874,1.524000,1.653000
418,208500,500,1965,2016,1810,1864,1.598000,1.646000
419,209000,500,2053,2016,1897,1866,1.669000,1.645000
420,209500,500,2126,2028,1967,1875,1.727000,1.653000
421,210000,500,2194,2020,2035,1867,1.779000,1.648000
422,210500,500,2269,2024,2117,1872,1.842000,1.650000
423,211000,500,2339,2020,2178,1869,1.897000,1.649000
424,211500,500,2397,2020,2241,1871,1.944000,1.649000
425,212000,500,2427,2036,2265,1885,1.968000,1.660000
426,212500,500,2447,2032,2288,1877,1.985000,1.654000
