sample,ts_comtrade,dt_us,t_us,adcA_raw,adcB_raw,adcA_V,adcB_V,dacA_code,dacB_code
1053,525999,500,525999,1855,1887,1.494872,1.520659,2014,2042
1054,526499,500,526499,1936,1887,1.560146,1.520659,2099,2040
1055,526999,500,526999,2029,1886,1.635092,1.519853,2187,2038
1056,527499,500,527499,2116,1887,1.705202,1.520659,2275,2042
1057,527999,500,527999,2192,1883,1.766447,1.517436,2354,2038
1058,528499,500,528499,2252,1887,1.814799,1.520659,2415,2042
1059,528999,500,528999,2289,1887,1.844615,1.520659,2455,2040
1060,529499,500,529499,2313,1885,1.863956,1.519048,2478,2040
1061,529999,500,529999,2337,1886,1.883297,1.519853,2498,2036
1062,530499,500,530499,2337,1881,1.883297,1.515824,2501,2036
1063,530999,500,530999,2319,1883,1.868791,1.517436,2484,2038
1064,531499,500,531499,2277,1890,1.834945,1.523077,2441,2042
1065,531999,500,531999,2223,1889,1.791429,1.522271,2386,2042
1066,532499,500,532499,2158,1886,1.739048,1.519853,2321,2040
1067,532999,500,532999,2086,1885,1.681026,1.519048,2247,2044
1068,533499,500,533499,2000,1889,1.611722,1.522271,2165,2044
1069,533999,500,533999,1915,1886,1.543223,1.519853,2078,2042
1070,534499,500,534499,1833,1889,1.477143,1.522271,1993,2044
1071,534999,500,534999,1750,1887,1.410256,1.520659,1912,2042
1072,535499,500,535499,1667,1892,1.343370,1.524689,1826,2044
1073,535999,500,535999,1589,1887,1.280513,1.520659,1745,2040
1074,536499,500,536499,1517,1887,1.222491,1.520659,1676,2040
1075,536999,500,536999,1472,1888,1.186227,1.521465,1632,2042
1076,537499,500,537499,1447,1888,1.166081,1.521465,1608,2042
1077,537999,500,537999,1434,1887,1.155604,1.520659,1593,2042
1078,538499,500,538499,1424,1889,1.147546,1.522271,1586,2044
1079,538999,500,538999,1440,1891,1.160440,1.523883,1599,2044
1080,539499,500,539499,1470,1890,1.184615,1.523077,1631,2044
1081,539999,500,539999,1530,1886,1.232967,1.519853,1692,2040
1082,540499,500,540499,1600,1887,1.289377,1.520659,1759,2042
1083,540999,500,540999,1675,1886,1.349817,1.519853,1835,2040
1084,541499,500,541499,1757,1886,1.415897,1.519853,1918,2040
1085,541999,500,541999,1847,1885,1.488425,1.519048,2009,2040
1086,542499,500,542499,1939,1889,1.562564,1.522271,2101,2044
1087,542999,500,542999,2024,1889,1.631062,1.522271,2189,2044
1088,543499,500,543499,2112,1885,1.701978,1.519048,2275,2038
