sample_idx,applied_us,dt_us,flags,dac0,dac1,dac2,dac3,adc34,adc35
328,6162380,500,0,2813,2040,2048,2048,2176,1902
329,6171640,500,0,1940,2034,2048,2048,1674,1899
330,6180808,500,0,2041,2038,2048,2048,1733,1901
331,6219681,500,0,2131,2036,2048,2048,1787,1898
332,6228944,500,0,2209,2036,2048,2048,1831,1899
333,6238126,500,0,2290,2038,2048,2048,1877,1901
334,6288590,500,0,2371,2042,2048,2048,1917,1904
335,6297890,500,0,2189,2044,2048,2048,1822,1905
336,6307223,500,0,2167,2044,2048,2048,1808,1907
337,6316409,500,0,2138,2040,2048,2048,1791,1903
338,6325663,500,0,2109,2044,2048,2048,1775,1905
339,6334836,500,0,2076,2042,2048,2048,1754,1904
340,6344166,500,0,2671,2036,2048,2048,2096,1899
341,6366480,500,0,2700,2040,2048,2048,2112,1901
342,6377341,500,0,2721,2040,2048,2048,2126,1901
343,6386580,500,0,2719,2042,2048,2048,2124,1904
344,6395772,500,0,2685,2042,2048,2048,2107,1904
345,6404999,500,0,2620,2042,2048,2048,2069,1904
346,6414201,500,0,1784,2040,2048,2048,1579,1902
347,6423440,500,0,1742,2038,2048,2048,1535,1902
348,6432694,500,0,1675,2038,2048,2048,1488,1902
349,6441921,500,0,1590,2038,2048,2048,1421,1901
350,6451123,500,0,1519,2040,2048,2048,1359,1904
351,6460360,500,0,1480,2038,2048,2048,1322,1902
352,6473366,500,0,1534,2042,2048,2048,1363,1904
353,6482607,499,0,1617,2042,2048,2048,1434,1904
354,6507010,500,0,1725,2040,2048,2048,1519,1903
355,6516327,500,0,1831,2042,2048,2048,1593,1904
356,6525567,500,0,1942,2042,2048,2048,1665,1903
357,6534808,500,0,1879,2042,2048,2048,1630,1905
358,6543980,500,0,1952,2042,2048,2048,1675,1904
359,6553239,500,0,2020,2040,2048,2048,1718,1904
360,6587275,500,0,2093,2038,2048,2048,1763,1903
361,6596638,500,0,2165,2042,2048,2048,1805,1905
362,6609706,500,0,2231,2038,2048,2048,1842,1901
363,6618945,500,0,1431,2042,2048,2048,1278,1905
364,6628127,500,0,1420,2042,2048,2048,1264,1905
365,6663266,500,0,1427,2040,2048,2048,1265,1903
366,6672499,500,0,1444,2042,2048,2048,1281,1904
367,6681683,500,0,1484,2038,2048,2048,1315,1902
368,6690917,500,0,1612,2042,2048,2048,1424,1904
369,6700168,500,0,1502,2036,2048,2048,1329,1899
370,6709413,500,0,1418,2036,2048,2048,1257,1901
371,6718716,500,0,1367,2044,2048,2048,1210,1907
372,6727945,500,0,1330,2042,2048,2048,1173,1904
373,6756061,500,0,1304,2040,2048,2048,1152,1904
374,6765367,500,0,2084,2042,2048,2048,1744,1904
375,6774658,500,0,1995,2040,2048,2048,1702,1903
376,6783895,500,0,1901,2044,2048,2048,1643,1906
377,6793083,500,0,1810,2042,2048,2048,1582,1904
378,6802330,500,0,1725,2042,2048,2048,1517,1904
379,6811510,500,0,1666,2040,2048,2048,1470,1902
380,6820802,500,0,2137,2036,2048,2048,1783,1897
381,6830034,500,0,2043,2042,2048,2048,1731,1904
382,6839278,500,0,1952,2042,2048,2048,1675,1904
383,6852216,500,0,1857,2044,2048,2048,1615,1905
384,6861504,500,0,1763,2042,2048,2048,1535,1906
385,6870620,500,0,1678,2042,2048,2048,1482,1905
386,6879908,500,0,1676,2040,2048,2048,1477,1904
387,6888980,500,0,1633,2042,2048,2048,1444,1904
388,6924283,500,0,1608,2042,2048,2048,1424,1904
389,6933458,500,0,1594,2042,2048,2048,1409,1904
390,6942742,500,0,1586,2044,2048,2048,1405,1905
391,6951916,500,0,1599,2044,2048,2048,1411,1905
392,6961150,500,0,1560,2044,2048,2048,1381,1906
393,6970330,500,0,1639,2040,2048,2048,1447,1904
394,6998481,500,0,1731,2042,2048,2048,1517,1904
395,7007765,500,0,1832,2040,2048,2048,1593,1904
396,7042797,500,0,1942,2042,2048,2048,1665,1905
397,7052083,500,0,2058,2040,2048,2048,1740,1903
398,7061276,500,0,1550,2040,2048,2048,1379,1904
399,7070566,500,0,1508,2044,2048,2048,1338,1906
400,7079798,500,0,1490,2048,2048,2048,1319,1909
401,7089020,500,0,1494,2044,2048,2048,1324,1906
402,7098210,500,0,1526,2044,2048,2048,1353,1904
403,7107495,500,0,1570,2040,2048,2048,1391,1905
404,7120470,500,0,2435,2044,2048,2048,1955,1904
405,7129620,500,0,2465,2044,2048,2048,1977,1904
406,7138852,500,0,2483,2038,2048,2048,1984,1903
407,7148002,500,0,2497,2042,2048,2048,1998,1904
408,7157252,500,0,2490,2038,2048,2048,1991,1899
409,7166418,500,0,2463,2042,2048,2048,1976,1904
410,7175652,500,0,2454,2046,2048,2048,1971,1905
411,7184804,500,0,2376,2044,2048,2048,1930,1905
412,7194042,500,0,2289,2038,2048,2048,1878,1903
413,7203201,500,0,2192,2044,2048,2048,1823,1904
414,7227664,500,0,2089,2042,2048,2048,1762,1904
415,7244053,500,0,2066,2042,2048,2048,1746,1905
416,7253276,500,0,2163,2042,2048,2048,1806,1904
417,7288311,500,0,2265,2042,2048,2048,1863,1904
418,7297549,500,0,2361,2046,2048,2048,1920,1906
419,7306803,500,0,2446,2042,2048,2048,1969,1904
420,7316099,500,0,2505,2040,2048,2048,2000,1903
421,7325308,500,0,1514,2036,2048,2048,1360,1904
422,7334474,500,0,1480,2048,2048,2048,1325,1911
423,7343667,500,0,1452,2046,2048,2048,1296,1910
424,7352835,500,0,1450,2042,2048,2048,1293,1904
425,7374956,500,0,1472,2044,2048,2048,1310,1907
426,7385758,500,0,1520,2040,2048,2048,1353,1904
427,7420765,500,0,1784,2044,2048,2048,1563,1905
428,7430010,500,0,1712,2048,2048,2048,1506,1910
429,7439215,500,0,1665,2042,2048,2048,1472,1904
430,7448472,500,0,1630,2048,2048,2048,1439,1909
431,7457639,500,0,1606,2044,2048,2048,1422,1905
432,7466819,500,0,1590,2042,2048,2048,1407,1905
433,7491109,500,0,1574,2048,2048,2048,1392,1913
434,7500428,500,0,1634,2042,2048,2048,1442,1904
435,7513474,500,0,1703,2046,2048,2048,1495,1907
436,7522602,500,0,1783,2042,2048,2048,1558,1904
437,7531830,500,0,1872,2044,2048,2048,1618,1906
438,7540959,500,0,1969,2038,2048,2048,1683,1902
439,7550201,500,0,2647,2046,2048,2048,2084,1904
440,7559394,500,0,2645,2040,2048,2048,2082,1902
441,7568620,500,0,2621,2046,2048,2048,2066,1906
442,7577802,500,0,2571,2042,2048,2048,2039,1904
443,7586973,500,0,2507,2044,2048,2048,2000,1905
444,7596106,500,0,2427,2044,2048,2048,1957,1904
445,7605342,500,0,1709,2050,2048,2048,1519,1913
446,7644086,500,0,1790,2048,2048,2048,1570,1911
447,7653276,500,0,1882,2042,2048,2048,1629,1905
448,7662450,500,0,1975,2048,2048,2048,1689,1911
449,7671620,500,0,2072,2042,2048,2048,1748,1904
450,7680731,500,0,2587,2042,2048,2048,2047,1904
451,7689912,500,0,2566,2046,2048,2048,2034,1905
452,7699032,500,0,2519,2046,2048,2048,2007,1905
453,7723557,500,0,2462,2044,2048,2048,1975,1904
454,7732731,500,0,1819,2044,2048,2048,1598,1905
455,7742023,500,0,1910,2046,2048,2048,1650,1909
456,7754945,500,0,2004,2044,2048,2048,1711,1904
457,7764339,500,0,2098,2046,2048,2048,1770,1906
458,7799492,500,0,2194,2042,2048,2048,1821,1904
459,7808940,500,0,2300,2042,2048,2048,1884,1904
460,7818252,500,0,1633,2044,2048,2048,1457,1906
461,7827583,500,0,1718,2042,2048,2048,1516,1905
462,7836814,500,0,1812,2044,2048,2048,1586,1907
463,7846144,500,0,2075,2042,2048,2048,1755,1904
464,7855391,500,0,1972,2046,2048,2048,1689,1906
465,7864776,500,0,1864,2046,2048,2048,1621,1906
466,7874007,500,0,1761,2044,2048,2048,1552,1904
467,7887101,500,0,1670,2042,2048,2048,1479,1904
