time_us,adc_raw
2651985,0
2652484,0
2652984,0
2653485,0
2653985,0
2654484,0
2654984,0
2655485,0
2655985,0
2656484,0
2656985,0
2657484,0
2657984,0
2658484,0
2658984,0
2659485,0
2659985,0
2660484,0
2660984,0
2661485,0
2661984,0
2662484,0
2662984,0
2663485,0
2663985,0
2664484,0
2664984,0
2665485,0
2665984,0
2666484,0
2666985,0
2667484,0
2667985,0
2668484,0
2668985,0
2669484,0
2669984,0
2670484,0
2670984,0
2671485,0
2671984,0
2672485,0
2672984,0
2673484,0
2673985,0
2674484,0
2674984,0
2675485,0
2675985,0
2676484,0
2676984,0
2677484,0
2677984,0
2678485,0
2678985,0
2679484,0
2679984,0
2680484,0
2680984,0
2681485,0
2681984,0
2682485,0
2682985,0
2683484,0
2683984,0
2684485,0
2684984,0
2685485,0
2685985,0
2686484,0
2686984,0
2687485,0
2687985,0
2688484,0
2688985,0
2689484,0
2689984,0
2690484,0
2690984,0
2691484,0
2691984,0
2692485,0
2692985,0
2693484,0
2693984,0
2694484,0
2694985,0
2695484,0
2695984,0
2696484,0
2696984,0
2697485,0
2697985,0
2698484,0
2698984,0
2699485,0
2699985,0
2700484,0
2700985,0
2701484,0
2701984,0
2702485,0
2702984,0
2703485,0
2703984,0
2704485,0
2704984,0
2705484,0
2705984,0
2706484,0
2706984,0
2707484,0
2707985,0
2708484,0
2708984,0
2709484,0
2709984,0
2710485,0
2710984,16
2711484,0
2711985,0
2712484,0
2712984,0
2713485,0
2713984,0
2714485,0
2714985,0
2715484,0
2715985,0
2716484,0
2716984,0
2717485,0
2717985,0
2718484,0
2718984,0
2719484,0
2719984,0
2720484,0
2720985,0
2721485,0
2721984,0
2722484,0
2722985,0
2723484,0
2723984,0
2724484,0
2724985,0
2725484,0
2725984,0
2726485,0
2726985,0
2727485,0
2727985,0
2728484,0
2728984,0
2729484,0
2729984,0
2730484,0
2730984,0
2731484,0
2731985,0
2732484,0
2732985,0
2733484,0
2733984,0
2734485,0
2734984,0
2735484,0
2735984,0
2736484,0
2736984,0
2737485,0
2737985,0
2738484,0
2738984,0
2739484,0
2739985,0
2740484,0
2740984,0
2741485,0
2741984,0
2742484,0
2742985,0
2743484,0
2743984,0
2744485,0
2744984,0
2745484,0
2745984,0
2746484,0
2746985,0
2747484,0
2747985,0
2748484,0
2748984,0
2749485,0
2749984,0
2750484,0
2750984,0
2751484,0
2751984,0
2752485,0
2752984,0
2753484,0
2753985,0
2754484,0
2754984,0
2755484,0
2755985,0
2756484,0
2756985,0
2757485,0
2757985,0
2758484,0
2758985,0
2759484,0
2759984,0
2760484,0
2760985,0
2761484,0
2761984,0
2762485,0
2762984,0
2763485,0
2763984,0
2764484,0
2764985,0
2765484,0
2765984,0
2766485,0
2766985,0
2767484,0
2767984,0
2768484,0
2768984,0
2769485,0
2769984,0
2770484,0
2770984,0
2771484,0
2771985,0
2772484,0
2772984,0
2773484,0
2773984,0
2774485,0
2774985,0
2775485,0
2775984,0
2776484,0
2776984,0
2777485,0
2777984,0
2778485,0
2778984,0
2779485,0
2779985,0
2780484,0
2780984,0
2781485,0
2781985,0
2782484,0
2782984,0
2783484,0
2783984,0
2784484,0
2784984,0
2785484,0
2785984,0
2786484,0
2786984,0
2787485,0
2787984,0
2788484,0
2788984,0
2789484,0
2789984,0
2790484,0
2790984,0
2791484,0
2791984,0
2792485,0
2792984,0
2793484,0
2793985,0
2794484,0
2794984,0
2795485,0
2795984,0
2796485,0
2796984,0
2797484,0
2797984,0
2798484,0
2798985,0
2799485,0
2799985,0
2800485,0
2800984,0
2801485,0
2801985,0
2802484,0
2802984,0
2803485,0
2803984,0
2804484,0
2804984,0
2805485,0
2805984,0
2806484,0
2806984,0
2807485,0
2807985,0
2808484,0
2808984,0
2809485,0
2809984,0
2810484,0
2810984,0
2811485,0
2811985,0
2812484,0
2812985,0
2813484,0
2813984,0
2814485,0
2814984,0
2815484,0
2815984,0
2816485,0
2816985,0
2817484,0
2817985,0
2818484,0
2818985,0
2819484,0
2819985,0
2820484,0
2820984,0
2821484,0
2821985,0
2822484,0
2822984,0
2823484,0
2823984,0
2824484,0
2824984,0
2825485,0
2825985,0
2826484,0
2826984,0
2827485,0
2827985,0
2828485,0
2828985,0
2829484,0
2829984,0
2830484,0
2830985,0
2831484,0
2831984,0
2832484,0
2832984,0
2833485,0
2833984,0
2834484,0
2834984,0
2835484,0
2835984,0
2836484,0
2836985,0
2837484,0
2837984,0
2838485,0
2838985,0
2839484,0
2839985,0
2840484,0
2840984,0
2841484,0
2841985,0
2842484,0
2842984,0
2843484,0
