sample,t_us,dt_us,dacV_code,dacI_code,adcV_raw,adcI_raw,adcV_V,adcI_V,clipV,clipI
192,96000,500,1087,2684,924,2531,0.887000,2.182000,0,0
193,96500,500,1094,2662,935,2512,0.894000,2.166000,0,0
194,97000,500,1133,2605,971,2454,0.924000,2.118000,0,0
195,97500,500,1211,2548,1053,2399,0.990000,2.075000,0,0
196,98000,500,1319,2475,1162,2323,1.078000,2.011000,0,0
197,98500,500,1451,2385,1294,2234,1.184000,1.942000,0,0
198,99000,500,1655,2233,1495,2085,1.346000,1.820000,0,0
199,99500,500,1822,2115,1667,1967,1.484000,1.726000,0,0
200,100000,500,1996,1994,1840,1840,1.624000,1.627000,0,0
201,100500,500,2177,1872,2017,1722,1.769000,1.530000,0,0
202,101000,500,2358,1760,2199,1613,1.914000,1.441000,0,0
203,101500,500,2525,1660,2363,1509,2.047000,1.357000,0,0
204,102000,500,2673,1579,2512,1425,2.165000,1.289000,0,0
205,102500,500,2796,1513,2639,1360,2.268000,1.238000,0,0
206,103000,500,2893,1456,2736,1304,2.346000,1.191000,0,0
207,103500,500,2961,1419,2803,1264,2.399000,1.161000,0,0
208,104000,500,3003,1411,2847,1264,2.436000,1.156000,0,0
209,104500,500,3007,1420,2851,1270,2.439000,1.161000,0,0
210,105000,500,2979,1465,2821,1311,2.415000,1.199000,0,0
211,105500,500,2913,1528,2755,1376,2.363000,1.250000,0,0
212,106000,500,2815,1595,2656,1445,2.283000,1.304000,0,0
213,106500,500,2690,1685,2527,1530,2.178000,1.377000,0,0
214,107000,500,2544,1781,2384,1634,2.063000,1.456000,0,0
215,107500,500,2385,1905,2225,1755,1.934000,1.555000,0,0
216,108000,500,2218,2026,2041,1872,1.804000,1.652000,0,0
217,108500,500,2039,2144,1879,1993,1.657000,1.747000,0,0
218,109000,500,1858,2266,1710,2117,1.514000,1.848000,0,0
219,109500,500,1679,2367,1520,2218,1.367000,1.929000,0,0
220,110000,500,1518,2466,1361,2317,1.238000,2.008000,0,0
221,110500,500,1377,2541,1217,2388,1.123000,2.066000,0,0
222,111000,500,1265,2603,1105,2449,1.034000,2.117000,0,0
223,111500,500,1176,2653,1011,2502,0.960000,2.158000,0,0
224,112000,500,1115,2685,954,2533,0.908000,2.183000,0,0
225,112500,500,1087,2684,925,2533,0.888000,2.183000,0,0
226,113000,500,1094,2662,934,2510,0.892000,2.166000,0,0
227,113500,500,1133,2605,970,2454,0.927000,2.120000,0,0
228,114000,500,1211,2548,1054,2399,0.990000,2.074000,0,0
229,114500,500,1319,2475,1165,2321,1.077000,2.015000,0,0
230,115000,500,1451,2385,1293,2234,1.185000,1.940000,0,0
231,115500,500,1655,2233,1495,2086,1.346000,1.822000,0,0
232,116000,500,1822,2115,1667,1966,1.483000,1.726000,0,0
233,116500,500,1996,1994,1840,1842,1.624000,1.625000,0,0
234,117000,500,2177,1872,2017,1724,1.766000,1.530000,0,0
235,117500,500,2358,1760,2198,1613,1.913000,1.440000,0,0
236,118000,500,2525,1660,2365,1507,2.047000,1.358000,0,0
237,118500,500,2673,1579,2509,1426,2.165000,1.288000,0,0
238,119000,500,2796,1513,2636,1360,2.266000,1.238000,0,0
239,119500,500,2893,1456,2735,1303,2.346000,1.190000,0,0
240,120000,500,2961,1419,2806,1267,2.399000,1.162000,0,0
241,120500,500,3003,1411,2847,1258,2.436000,1.155000,0,0
242,121000,500,3007,1420,2851,1266,2.440000,1.160000,0,0
243,121500,500,2979,1465,2822,1311,2.416000,1.198000,0,0
244,122000,500,2913,1528,2754,1377,2.362000,1.251000,0,0
245,122500,500,2815,1595,2655,1443,2.287000,1.305000,0,0
246,123000,500,2690,1685,2528,1533,2.176000,1.377000,0,0
247,123500,500,2544,1781,2384,1632,2.063000,1.458000,0,0
248,124000,500,2385,1905,2226,1754,1.935000,1.556000,0,0
249,124500,500,2218,2026,2064,1874,1.805000,1.650000,0,0
250,125000,500,2039,2144,1874,1993,1.654000,1.745000,0,0
251,125500,500,1858,2266,1701,2116,1.512000,1.848000,0,0
252,126000,500,1679,2367,1520,2217,1.367000,1.929000,0,0
253,126500,500,1518,2466,1360,2316,1.238000,2.007000,0,0
254,127000,500,1377,2541,1217,2387,1.124000,2.067000,0,0
255,127500,500,1265,2603,1107,2450,1.032000,2.117000,0,0
256,128000,500,1176,2653,1012,2501,0.957000,2.157000,0,0
257,128500,500,1115,2685,950,2535,0.908000,2.183000,0,0
258,129000,500,1087,2684,924,2532,0.886000,2.183000,0,0
259,129500,500,1094,2662,931,2502,0.892000,2.163000,0,0
260,130000,500,1133,2605,971,2451,0.923000,2.119000,0,0
261,130500,500,1211,2548,1054,2397,0.990000,2.074000,0,0
